Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Global,2021,All ages,Both,All causes,Unsafe sex,"Deaths per 100,000",11.41315083866,10.78448749585,12.15109498961
Global,1990 - 2021,All ages,Both,All causes,Unsafe sex,Deaths % change,0.34402413012433036,,
Global,1990,All ages,Both,All causes,Non-optimal temperature,Death rank,11,,
Global,1990,All ages,Both,All causes,Non-optimal temperature,"Deaths per 100,000",24.21418745513,21.820607356140002,27.28752295222
Global,2021,All ages,Both,All causes,Non-optimal temperature,Death rank,10,,
Global,2021,All ages,Both,All causes,Non-optimal temperature,"Deaths per 100,000",24.17202694268,20.97516072155,27.91248993876
Global,1990 - 2021,All ages,Both,All causes,Non-optimal temperature,Deaths % change,-0.0017411491724892735,,
Global,1990,All ages,Both,All causes,Kidney dysfunction,Death rank,9,,
Global,1990,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",34.96358038506,29.93071495378,40.21625616164
Global,2021,All ages,Both,All causes,Kidney dysfunction,Death rank,8,,
Global,2021,All ages,Both,All causes,Kidney dysfunction,"Deaths per 100,000",45.90898285058,39.591711282169996,52.49343936582
Global,1990 - 2021,All ages,Both,All causes,Kidney dysfunction,Deaths % change,0.3130515337667476,,
Global,1990,All ages,Both,All causes,High LDL cholesterol,Death rank,7,,
Global,1990,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",45.972702819940004,26.84361541217,65.71394566209
Global,2021,All ages,Both,All causes,High LDL cholesterol,Death rank,7,,
Global,2021,All ages,Both,All causes,High LDL cholesterol,"Deaths per 100,000",46.20252143803,26.9830400699,66.68273580722
Global,1990 - 2021,All ages,Both,All causes,High LDL cholesterol,Deaths % change,0.0049990234202700115,,
Global,1990,All ages,Both,All causes,Childhood sexual abuse and bullying,Death rank,20,,
Global,1990,All ages,Both,All causes,Childhood sexual abuse and bullying,"Deaths per 100,000",0.15313975348,0.02620236292,0.3485457936
Global,2021,All ages,Both,All causes,Childhood sexual abuse and bullying,Death rank,20,,
Global,2021,All ages,Both,All causes,Childhood sexual abuse and bullying,"Deaths per 100,000",0.15317167847000002,0.026658474019999996,0.34760059165
Global,1990 - 2021,All ages,Both,All causes,Childhood sexual abuse and bullying,Deaths % change,0.00020846964471693847,,

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 12/5/2024). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
